issue_date,series,security_type,cusip,maturity_date,rate,total_issue_amt,investor_class,allotment_amt
2020-01-14,Bills,,912796XA2,2020-03-10,1.515,,"Depository 
 institutions",0.005
2020-01-14,Bills,,912796XA2,2020-03-10,1.515,,"Foreign 
 and  
 international",2.502831
2020-01-14,Bills,,912796XA2,2020-03-10,1.515,,Individuals,0.2637055
2020-01-14,Bills,,912796XA2,2020-03-10,1.515,,"Investment 
 funds",5.591
2020-01-14,Bills,,912796XA2,2020-03-10,1.515,,"Other 
 (see category 
 description)",0.0145
2020-01-14,Bills,,912796XA2,2020-03-10,1.515,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.045
2020-01-14,Bills,,912796XA2,2020-03-10,1.515,,"Total 
 issue",37.1607698
2020-01-15,Coupons,30-Year Bond,912810SK5,2049-11-15,2.375,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.5119411
2020-01-15,Coupons,30-Year Bond,912810SK5,2049-11-15,2.375,,"Dealers 
 and 
 brokers",3.39995
2020-01-15,Coupons,30-Year Bond,912810SK5,2049-11-15,2.375,,"Depository 
 institutions",0.0
2020-01-15,Coupons,30-Year Bond,912810SK5,2049-11-15,2.375,,"Foreign 
 and  
 international",2.1622
2020-01-15,Coupons,30-Year Bond,912810SK5,2049-11-15,2.375,,Individuals,0.010794
2020-01-15,Coupons,30-Year Bond,912810SK5,2049-11-15,2.375,,"Investment 
 funds",10.427082
2020-01-15,Coupons,30-Year Bond,912810SK5,2049-11-15,2.375,,Other,0.0
2020-01-15,Coupons,30-Year Bond,912810SK5,2049-11-15,2.375,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-15,Coupons,30-Year Bond,912810SK5,2049-11-15,2.375,,"Total 
 issue",16.5119671
2020-01-15,Coupons,10-Year Note,912828YS3,2029-11-15,1.75,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.7679117
2020-01-15,Coupons,10-Year Note,912828YS3,2029-11-15,1.75,,"Dealers 
 and 
 brokers",7.34479
2020-01-15,Coupons,10-Year Note,912828YS3,2029-11-15,1.75,,"Depository 
 institutions",0.0
2020-01-15,Coupons,10-Year Note,912828YS3,2029-11-15,1.75,,"Foreign 
 and  
 international",4.4098
2020-01-15,Coupons,10-Year Note,912828YS3,2029-11-15,1.75,,Individuals,0.0040953
2020-01-15,Coupons,10-Year Note,912828YS3,2029-11-15,1.75,,"Investment 
 funds",12.1913484
2020-01-15,Coupons,10-Year Note,912828YS3,2029-11-15,1.75,,Other,0.0
2020-01-15,Coupons,10-Year Note,912828YS3,2029-11-15,1.75,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.05
2020-01-15,Coupons,10-Year Note,912828YS3,2029-11-15,1.75,,"Total 
 issue",24.7679454
2020-01-15,Coupons,3-Year Note,912828Z29,2023-01-15,1.5,,"(SOMA) 
 Federal 
 Reserve 
 banks",1.2158602
2020-01-15,Coupons,3-Year Note,912828Z29,2023-01-15,1.5,,"Dealers 
 and 
 brokers",14.1816402
2020-01-15,Coupons,3-Year Note,912828Z29,2023-01-15,1.5,,"Depository 
 institutions",0.0
2020-01-15,Coupons,3-Year Note,912828Z29,2023-01-15,1.5,,"Foreign 
 and  
 international",5.123725
2020-01-15,Coupons,3-Year Note,912828Z29,2023-01-15,1.5,,Individuals,0.0484115
2020-01-15,Coupons,3-Year Note,912828Z29,2023-01-15,1.5,,"Investment 
 funds",18.64626
2020-01-15,Coupons,3-Year Note,912828Z29,2023-01-15,1.5,,Other,0.0
2020-01-15,Coupons,3-Year Note,912828Z29,2023-01-15,1.5,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-15,Coupons,3-Year Note,912828Z29,2023-01-15,1.5,,"Total 
 issue",39.2158969
2020-01-16,Bills,,912796SZ3,2020-07-16,1.53,,"(SOMA) 
 Federal 
 Reserve 
 banks",2.5416923
